run_id,seed,n_events,mean_art,std_art,ticks
0,42,49,22.857,8.273,1000
1,43,52,24.846,9.086,1000
2,44,44,25.455,9.309,1000
3,45,43,27.047,10.576,1000
4,46,42,25.524,8.908,1000
5,47,54,26.889,10.542,1000
6,48,42,24.595,8.139,1000
7,49,42,23.095,6.586,1000
8,50,34,28.5,11.991,1000
9,51,59,28.525,11.049,1000
SUMMARY,all,461,25.733,1.896,10000
